DateT,Servername,Database_Name,Index_Details
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.MSreplication_subscriptions') AND NAME ='uc1MSReplicati
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.MSsubscription_agents') AND NAME ='ucMSsubscription_age
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.MSsubscription_agents') AND NAME ='ucMSsubscription_age
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.CentralRepository_JPMProfileItems_MIG') AND NAME ='INDX
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.CentralRepository_JPMProfileItems_MIG') AND NAME ='INDX
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.CentralRepository_JOB_Reference_MIG') AND NAME ='INDXC_
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.CentralRepository_JOB_Reference_MIG') AND NAME ='INDXC_
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.CentralRepository_JOB_Reference_MIG') AND NAME ='INDXC_
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.HCM_PS_CT_STATE_TBL_VW_CRS_STG_CURR') AND NAME ='INDXC_
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.CHire_CandidateHiredDetail_STG_CURR') AND NAME ='INDXC_
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.CHire_CandidateHiredDetail_STG_CURR') AND NAME ='INDXC_
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.CHire_CandidateHiredDetail_STG_CURR') AND NAME ='INDXC_
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.MSreplication_objects') AND NAME ='ucMSreplication_obje
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.HCM_PS_CT_TM_TBL_GBL_STG_CURR') AND NAME ='INDXC_HCM_PS
